block,trial_n,x,y
1,1,694.200012207031,307.899993896484
1,2,905.400024414062,479.299987792969
1,3,NaN,NaN
1,4,944.599975585938,427.100006103516
1,5,1287.40002441406,545.700012207031
1,6,1218.40002441406,455.399993896484
1,7,1128.80004882812,436.200012207031
1,8,1015.5,417.5
1,9,1206.40002441406,592.099975585938
1,10,1220.90002441406,453.100006103516
1,11,1021.40002441406,450.700012207031
1,12,1155.59997558594,574.099975585938
1,13,1173.69995117188,404.399993896484
1,14,NaN,NaN
1,15,NaN,NaN
1,16,NaN,NaN
1,17,NaN,NaN
1,18,966.700012207031,555.099975585938
1,19,895.400024414062,250.300003051758
1,20,NaN,NaN
1,21,NaN,NaN
1,22,1239,479.600006103516
1,23,1256.30004882812,435.399993896484
1,24,1166.40002441406,540.900024414062
1,25,1010.59997558594,438.100006103516
1,26,NaN,NaN
1,27,1213.40002441406,522.5
1,28,NaN,NaN
1,29,981.799987792969,430.5
1,30,864,459.600006103516
1,31,1214.80004882812,510.799987792969
1,32,NaN,NaN
1,33,NaN,NaN
1,34,549.299987792969,426.5
1,35,1385.5,555.700012207031
1,36,932.099975585938,472.5
1,37,853.599975585938,474.299987792969
1,38,791.099975585938,515.299987792969
1,39,887.400024414062,438.5
1,40,NaN,NaN
1,41,860.299987792969,360.799987792969
1,42,903,471.700012207031
1,43,1175.30004882812,636.700012207031
1,44,880.599975585938,552.5
1,45,1093.30004882812,531.200012207031
1,46,930.900024414062,559.099975585938
1,47,881.900024414062,464.600006103516
1,48,935.900024414062,517
1,49,NaN,NaN
1,50,887,405
1,51,967.799987792969,581.299987792969
1,52,NaN,NaN
1,53,860.099975585938,516
1,54,875.200012207031,463
1,55,1182.90002441406,621.900024414062
1,56,NaN,NaN
1,57,926.700012207031,523.700012207031
1,58,NaN,NaN
1,59,968.099975585938,514.900024414062
1,60,NaN,NaN
1,61,891.900024414062,479.899993896484
1,62,1054.80004882812,718.5
1,63,805,484.799987792969
1,64,NaN,NaN
1,65,878.400024414062,566.700012207031
1,66,878.299987792969,531.900024414062
1,67,869.900024414062,387.5
1,68,744.700012207031,560.900024414062
1,69,846.099975585938,618.099975585938
1,70,1042.40002441406,485
1,71,NaN,NaN
1,72,933.599975585938,560.299987792969
1,73,NaN,NaN
